Ответ из БЗ,Вопрос из БЗ,Классификатор 1 уровня,Классификатор 2 уровня,concat
"1. Зарегистрируйтесь или авторизуйтесь на RUTUBE.
2. Нажмите на значок загрузки (символ «плеера со знаком плюс») в правом верхнем углу экрана или пройдите по этой ссылке: https://studio.rutube.ru/uploader/
3. Выберите на вашем устройстве видеофайл, который хотите загрузить.
4. Укажите название и описание, выберите категорию ролика.
5. Настройте доступ к видео.
Если хотите, чтобы ваш ролик могли посмотреть только те, с кем вы им поделились, в поле ""Параметры доступа"" выберите вариант «Только по ссылке». Такой ролик не будет находиться в поиске, и другие пользователи не увидят его в списке ваших роликов. Обратите внимание: если вы отправите кому-то ссылку на ролик, то получатель может ею поделиться с другими.",Как загрузить видеоролик на сайт?,ВИДЕО,Загрузка видео,"Категория вопроса: Загрузка видео
Вопрос: Как загрузить видеоролик на сайт?
Ответ: 1. Зарегистрируйтесь или авторизуйтесь на RUTUBE.
2. Нажмите на значок загрузки (символ «плеера со знаком плюс») в правом верхнем углу экрана или пройдите по этой ссылке: https://studio.rutube.ru/uploader/
3. Выберите на вашем устройстве видеофайл, который хотите загрузить.
4. Укажите название и описание, выберите категорию ролика.
5. Настройте доступ к видео.
Если хотите, чтобы ваш ролик могли посмотреть только те, с кем вы им поделились, в поле ""Параметры доступа"" выберите вариант «Только по ссылке». Такой ролик не будет находиться в поиске, и другие пользователи не увидят его в списке ваших роликов. Обратите внимание: если вы отправите кому-то ссылку на ролик, то получатель может ею поделиться с другими."
RUTUBE Детям пока недоступен в виде отдельного приложения. Сейчас детский контент расположен разделе «Детям» в основном приложении RUTUBE.,Для каких телевизоров и ТВ-приставок доступно приложение RUTUBE Детям?,ПРЕДЛОЖЕНИЯ,Персонализация 0,"Категория вопроса: Персонализация 0
Вопрос: Для каких телевизоров и ТВ-приставок доступно приложение RUTUBE Детям?
Ответ: RUTUBE Детям пока недоступен в виде отдельного приложения. Сейчас детский контент расположен разделе «Детям» в основном приложении RUTUBE."
RUTUBE не предоставляет сервис по копированию и скачиванию видеороликов с сайта. Осуществление пользователями несанкционированных действий по копированию видеороликов нарушает правила Пользовательского соглашения RUTUBE: https://rutube.ru/info/agreement/,Могу ли я скачать копию моей трансляции?,ТРАНСЛЯЦИЯ,Управление трансляцией,"Категория вопроса: Управление трансляцией
Вопрос: Могу ли я скачать копию моей трансляции?
Ответ: RUTUBE не предоставляет сервис по копированию и скачиванию видеороликов с сайта. Осуществление пользователями несанкционированных действий по копированию видеороликов нарушает правила Пользовательского соглашения RUTUBE: https://rutube.ru/info/agreement/"
"RUTUBE предоставляет удобную технологию, интегрированную в функционал платформы и плеера; Пользователь использует технологию «как есть» (as is) и на свой риск, в том числе в контексте соблюдения интеллектуальных прав на соответствующий контент; RUTUBE не получает доступа к файлу с субтитрами, полученному за счёт технологии автоматического субтитрования, а также не хранит и не обрабатывает их. Субтитры сохраняются только в профиле пользователя или генерируются алгоритмами «налету» и временно кэшируются в привязке к воспроизведению конкретного контента в плеере.",Правила размещения субтитров,ВИДЕО,Загрузка видео,"Категория вопроса: Загрузка видео
Вопрос: Правила размещения субтитров
Ответ: RUTUBE предоставляет удобную технологию, интегрированную в функционал платформы и плеера; Пользователь использует технологию «как есть» (as is) и на свой риск, в том числе в контексте соблюдения интеллектуальных прав на соответствующий контент; RUTUBE не получает доступа к файлу с субтитрами, полученному за счёт технологии автоматического субтитрования, а также не хранит и не обрабатывает их. Субтитры сохраняются только в профиле пользователя или генерируются алгоритмами «налету» и временно кэшируются в привязке к воспроизведению конкретного контента в плеере."
"Shorts автоматически открываются в вертикальном формате и на сайте, и в приложениях RUTUBE.",Можно ли включить ролик Shorts в горизонтальном плеере?,ВИДЕО,Воспроизведение видео,"Категория вопроса: Воспроизведение видео
Вопрос: Можно ли включить ролик Shorts в горизонтальном плеере?
Ответ: Shorts автоматически открываются в вертикальном формате и на сайте, и в приложениях RUTUBE."
Shorts вы можете загрузить: На сайте RUTUBE — нажмите на значок загрузки со знаком «+» в правом верхнем углу страницы или перейдите по ссылке: https://studio.rutube.ru/uploader/. В мобильном приложении RUTUBE — нажмите на кнопку со знаком «+» в нижнем меню экрана. В мобильном приложении Студия RUTUBE на Android.,Как загрузить видео в формате Shorts?,ВИДЕО,Загрузка видео,"Категория вопроса: Загрузка видео
Вопрос: Как загрузить видео в формате Shorts?
Ответ: Shorts вы можете загрузить: На сайте RUTUBE — нажмите на значок загрузки со знаком «+» в правом верхнем углу страницы или перейдите по ссылке: https://studio.rutube.ru/uploader/. В мобильном приложении RUTUBE — нажмите на кнопку со знаком «+» в нижнем меню экрана. В мобильном приложении Студия RUTUBE на Android."
"Shorts — короткие вертикальные видео длительностью до 60 секунд, которые публикуются в разделе Shorts: https://rutube.ru/feeds/shorts/",Что такое Shorts на RUTUBE?,ВИДЕО,Воспроизведение видео,"Категория вопроса: Воспроизведение видео
Вопрос: Что такое Shorts на RUTUBE?
Ответ: Shorts — короткие вертикальные видео длительностью до 60 секунд, которые публикуются в разделе Shorts: https://rutube.ru/feeds/shorts/"
Автоматическое продление подписки подключается после первой оплаты. Управлять своими подписками вы можете в разделе «Подписки».,"С меня сняли деньги за подписку, хотя я ее не продлевал.",УПРАВЛЕНИЕ АККАУНТОМ,Платный контент,"Категория вопроса: Платный контент
Вопрос: С меня сняли деньги за подписку, хотя я ее не продлевал.
Ответ: Автоматическое продление подписки подключается после первой оплаты. Управлять своими подписками вы можете в разделе «Подписки»."
Авторизоваться в приложении можно по номеру телефона или электронной почте.,Как авторизоваться в приложении Студия RUTUBE?,УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация,"Категория вопроса: Регистрация/Авторизация
Вопрос: Как авторизоваться в приложении Студия RUTUBE?
Ответ: Авторизоваться в приложении можно по номеру телефона или электронной почте."
"Авторизуйтесь на RUTUBE и перейдите в Студию: https://studio.rutube.ru/videos, зайдите на страницу ролика, который вы хотите изменить. Информация, доступная к изменению: название, описание, обложка ролика. Вы также можете поменять статус приватности ролика: скрыть или открыть для всех пользователей. Вы не можете изменить или заменить видеофайл, а также не получится убрать отметку «18+», если ее поставили модераторы.",Как изменить мой ролик?,ВИДЕО,Загрузка видео,"Категория вопроса: Загрузка видео
Вопрос: Как изменить мой ролик?
Ответ: Авторизуйтесь на RUTUBE и перейдите в Студию: https://studio.rutube.ru/videos, зайдите на страницу ролика, который вы хотите изменить. Информация, доступная к изменению: название, описание, обложка ролика. Вы также можете поменять статус приватности ролика: скрыть или открыть для всех пользователей. Вы не можете изменить или заменить видеофайл, а также не получится убрать отметку «18+», если ее поставили модераторы."
